id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07af33,000080029C07AF18,IDU00325-BASF NUEVA ECIJA-PWX,2022-09-27 09:06:18,,True,2022-09-29 17:48:21,0.0,2022-09-29 17:48:21,2022-09-29 17:47:45,2022-09-29 17:48:12
eui-000080029c07af35,000080029C07AF19,IDU00326-PWX,,,False,,0.0,,,
eui-000080029c07af36,000080029C07AF1D,IDU00358-Florian-PWX,,,False,,0.0,,,
eui-000080029c07af3a,000080029C07AF20,IDU00335-ThingsPh-Vitro Makati,2022-09-22 22:46:57,,True,2022-09-29 17:48:13,0.0,2022-09-29 17:48:13,2022-09-29 17:48:13,2022-09-29 17:48:08
eui-000080029c07af3d,000080029C07AF23,IDU302-ULPI-Receiving Area-LAN,2022-09-19 07:48:49,,True,2022-09-29 17:48:02,0.0,2022-09-29 17:48:01,2022-09-29 11:52:08,2022-09-29 17:48:02
eui-000080029c07af3e,000080029C07AF2F,IDU00461-Manila Water-LGV Gate7-PWX,2022-09-22 22:46:56,,True,2022-09-29 17:48:06,0.0,2022-09-29 17:44:47,2022-09-29 13:44:47,2022-09-29 17:48:06
eui-000080029c07af3f,000080029C07AF33,IDU00334-Meralco Lopez 10F-PWX,,,False,,0.0,,,
eui-000080029c07af41,E000080029C07AF3,IDU00332-PWX,,,False,,0.0,,,
eui-000080029c07af4b,000080029C07AF36,IDU00435-LG Petroprime-PWX,2022-09-28 10:04:11,,True,2022-09-29 17:48:30,0.0,2022-09-29 16:58:46,2022-09-29 00:58:46,2022-09-29 17:48:30
eui-000080029c07af4f,000080029C07AF3A,For Door Lock Development,,2022-09-29 10:10:58,False,2022-09-29 10:07:36,202.239412,,,2022-09-29 10:07:36
eui-000080029c07af5b,000080029C07AF3D,IDU00424-MSERVE-PWX,,,False,,0.0,,,
eui-000080029c07af5f,000080029C07AF3E,IDU00474-Rommel Gadin-PWX,,,False,,0.0,,,
